project_id,instance,zone,creationTimestamp,licenses
cp-gaa-test-hybris-cop,hybriscop-gt2,us-east4-a,2022-04-04T00:32:20.575-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-test-hybris-cop,hybriscop-gt3,us-east4-a,2022-04-04T00:32:20.339-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-test-hybris-cporder,hybris-arcp-gt1,us-east4-a,2022-06-10T00:17:54.058-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-test-hybris-cporder,hybris-arcp-gt2,us-east4-a,2022-06-10T00:14:40.027-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-test-hybris-cporder,hybris-arcp-gt3,us-east4-a,2022-06-10T00:23:00.287-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-test-hybris-h4u,hybrish4u-gt1,us-east4-a,2022-04-27T00:21:09.063-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-test-hybris-h4u,hybrish4u-gt2,us-east4-a,2022-04-27T00:21:10.899-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-test-hybris-h4u,hybrish4u-gt3,us-east4-a,2022-04-27T00:21:10.359-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-tst-hybris-hth,hybris-hth-gt1,us-east4-a,2022-07-25T11:49:08.707-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-tst-hybris-hth,hybris-hth-gt2,us-east4-a,2022-07-25T23:49:37.688-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-tst-hybris-hth,hybris-hth-gt4,us-east4-a,2022-07-25T23:53:18.185-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-tst-hybris-hth,hybris-hth-gt5,us-east4-a,2022-07-25T23:53:17.864-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-tst-hybris-hth,hybris-hth-gt6,us-east4-a,2022-07-25T23:56:35.116-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-tst-hybris-hth,hybris-hth-gt7,us-east4-a,2022-11-17T11:55:24.260-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gcp-dev-dataexcellence,atlan-sap-lgd1,us-east4-a,2025-04-28T03:12:35.745-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-9-server
cp-gcp-prd-dr-esc-east,dr-tsm-east-ldr1,us-east4-a,2024-11-08T06:29:59.885-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gio-prd-esm,esmhub-gp1,us-east4-b,2023-05-08T13:19:01.447-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gio-prod-metasploitpro,esmmsp-gp1,us-east4-c,2022-09-01T12:35:13.027-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gis-prd-cyolo,cyolo-lgp1,us-east4-b,2024-11-26T03:54:00.232-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gis-prd-cyolo,cyolo-lgp2,us-east4-b,2024-11-26T03:54:01.072-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gis-prd-forescout,fscout-lgp1,us-east4-c,2024-04-23T09:22:01.017-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gis-prod-rapid7,rapid7-engine-gp1,us-east4-a,2023-02-17T11:25:12.839-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gis-prod-ssr,seclamp2-lgp1,us-east4-c,2025-01-07T13:05:44.126-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-9-server
cp-prod-east1-dr,commserv-lgp1,us-east4-c,2025-06-17T05:02:03.718-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-saa-prod-tmsclo,tms-gp1,us-east4-c,2020-12-05T00:16:47.333-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-7-server
cp-wcs-prd-vmwarehorizon,desktop-rh-lgp2,us-east4-a,2024-02-02T08:40:00.355-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
gam-vm-167218,mcvmgsuite-new,us-east4-c,2022-09-20T13:02:28.215-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
